hip,hd,bf,proper,ra,dec,dist,mag,absmag,spect,x,y,z
113852,217944,,,23.055933,58.563854,87.3362,6.43,1.724,G8IV,44.165939,-11.143633,74.517276
113994,218101,,,23.08508,16.562837,36.2188,6.43,3.635,G8IV,33.724652,-8.236037,10.324705
114371,218639,,,23.163764,-14.510552,104.2753,6.43,1.339,A0V,98.539674,-21.924299,-26.127075
114550,218559,,,23.203457,-80.9127,227.2727,6.43,-0.353,K4III,35.117672,-7.431052,-224.420261
115709,220766,,,23.443187,-21.740836,116.9591,6.43,1.09,K0III,107.487507,-15.780737,-43.322725
115907,221051,,,23.48356,-44.498068,161.2903,6.43,0.392,K2III,113.994171,-15.506952,-113.045861
116941,222641,,,23.704075,44.991715,227.2727,6.43,-0.353,K5III,160.247125,-12.439756,160.682764
2178,2358,,,0.45863,16.025483,117.2333,6.44,1.095,A5,111.866225,13.496606,32.363984
2237,2475,,,0.472528,-20.335051,32.1958,6.44,3.901,G3V,29.95859,3.725116,-11.18836
4164,5156,,,0.886793,-24.776876,73.5835,6.44,2.106,F3V,65.017432,15.37177,-30.837776
4475,5459,,,0.955435,61.421895,198.8072,6.44,-0.052,G8IV,92.141012,23.540732,174.585629
5042,6403,,,1.075717,-33.532845,163.6661,6.44,0.37,K0III,131.052762,37.915006,-90.41169
5315,6734,,,1.13324,1.993042,48.4731,6.44,3.012,K0IV,46.326549,14.16221,1.685774
5743,7345,86Zet Psc,,1.22924,7.578261,93.985,6.44,1.575,F7V,88.381439,29.46675,12.394783
6140,7853,,,1.313058,37.386275,128.5347,6.44,0.895,A5m,96.153529,34.420132,78.044436
6714,8733,,,1.439887,20.070804,95.3289,6.44,1.544,K0,83.252692,32.959248,32.715079
7362,9690,,,1.580922,-3.523889,343.6426,6.44,-1.241,K0,314.032455,137.940999,-21.121891
8641,11421,,,1.857321,-39.835935,161.8123,6.44,0.395,K1IIICN...,109.851044,58.064541,-103.655572
8688,11396,,,1.862805,-15.64748,355.8719,6.44,-1.316,M2III,302.733677,160.57399,-95.985018
8847,11408,,,1.896803,55.597639,70.8215,6.44,2.189,A5m,35.181153,19.063772,58.434186
9706,12730,,,2.080836,7.735664,127.8772,6.44,0.906,K0,108.371915,65.664792,17.212673
10830,14221,,,2.322974,48.955463,63.9795,6.44,2.41,F4V,34.479277,24.00345,48.253172
13257,17605,,,2.843137,36.948328,55.7103,6.44,2.71,G0,32.748081,30.163074,33.487157
15282,20283,,,3.286515,40.482979,197.6285,6.44,-0.039,B9p,98.025299,113.955818,128.304747
17759,23712,,,3.801817,24.988416,165.8375,6.44,0.342,K5,81.806649,126.102463,70.055359
20661,27991,70    Tau,,4.427032,15.94101,47.1698,6.44,3.072,F7V,18.154334,41.56448,12.955162
25368,35575,,,5.426805,-1.491294,225.2252,6.44,-0.323,B3V,33.659669,222.618716,-5.861497
25973,36066,18    Cam,,5.542707,57.221071,42.6985,6.44,3.288,F8V,2.760859,22.951651,35.899715
26592,37250,,,5.652417,41.358562,78.0031,6.44,1.979,K0,5.320389,58.306043,51.542045
28138,40359,,,5.946946,-31.976247,240.9639,6.44,-0.47,G8III,2.838942,204.382399,-127.606823
29788,44120,,,6.271892,-59.213504,37.4251,6.44,3.574,G1V,-1.362335,19.107159,-32.151152
30988,46037,,,6.503283,-19.214889,322.5806,6.44,-1.103,M0/M1III,-40.019103,301.969656,-106.165162
31241,46727,,,6.552844,-38.62519,150.6024,6.44,0.551,G8III,-16.969716,116.427544,-94.009663
31385,46642,14    Mon,,6.579533,7.572482,115.4734,6.44,1.128,A0Vs,-17.300486,113.151737,15.217165
31650,47020,,,6.624247,24.590851,121.9512,6.44,1.009,A3V,-18.041989,109.412955,50.748228
33909,53253,,,7.037633,-43.40387,134.9528,6.44,0.789,A0V,-26.30832,94.451737,-92.731197
34066,53240,,,7.06596,-10.123765,413.2231,6.44,-1.641,B9IIIn,-112.054039,391.05198,-72.634355
36779,59721,,,7.564311,51.314147,327.8689,6.44,-1.139,K0,-81.60146,187.987567,255.929466
38963,65867,,,7.972624,-51.448472,144.7178,6.44,0.637,A8/A9IV,-44.534382,78.428781,-113.176334
40007,67690,,,8.170308,25.844481,259.0674,6.44,-0.627,K0,-125.461818,196.52202,112.935251
40433,69596,,,8.256461,-50.449222,248.7562,6.44,-0.539,K3/K4III,-88.224101,131.554533,-191.806163
40787,70235,,,8.324865,-34.590137,235.2941,6.44,-0.418,B8Ib/II,-110.750954,158.91751,-133.577001
41306,71231,,,8.427601,-17.439405,215.5172,6.44,-0.227,K1III,-122.05374,165.464959,-64.589822
41644,72303,,,8.491613,-54.211761,223.7136,6.44,-0.308,Ap Si,-79.413509,103.96571,-181.472864
42123,73121,,,8.586812,-39.970452,36.4431,6.44,3.632,G1V,-17.501485,21.765715,-23.410968
44717,77692,,,9.111986,59.34452,421.9409,6.44,-1.686,A2V,-156.518687,147.600197,362.974133
48029,84722,19    Leo,,9.790546,11.568165,84.674,6.44,1.801,A7Vn,-69.459013,45.352025,16.979977
53157,94084,,,10.875578,52.503605,96.9932,6.44,1.506,K2III,-56.501145,17.130201,76.953573
53811,95509,,,11.010078,-53.111831,122.2494,6.44,1.004,K3III,-70.930252,18.805443,-97.776124
54030,95857,,,11.054461,-31.960849,214.1328,6.44,-0.213,M2/M3III,-176.135199,44.513778,-113.349363
54038,95572,,,11.057604,70.03074,238.0952,6.44,-0.444,K0,-78.851072,19.858546,223.779961
54380,96660,,,11.126149,-48.639982,173.0104,6.44,0.25,K3III,-111.344568,25.926642,-129.856825
55164,98221,,,11.29413,-34.737348,47.4608,6.44,3.058,F3V,-38.337866,7.166476,-27.043845
55953,99712,,,11.466297,-35.328849,358.4229,6.44,-1.332,K4/K5III,-289.568222,40.724685,-207.264575
